t,Step,AgentID,v,geometry,speed,x,y
2025-10-07 10:51:48.861075,1380,1030,0.9669676320219491,POINT (-4.482826576939779 48.35413545626169),3.540892456625427,-4.482826576939779,48.35413545626169
2025-10-07 10:51:58.861075,1390,1030,1.0669676320219492,POINT (-4.4825393125617 48.35386614137287),3.674365924597519,-4.4825393125617,48.35386614137287
2025-10-07 10:52:08.861075,1400,1030,1.1669676320219493,POINT (-4.4822239392329 48.35357047389906),4.03391166410686,-4.4822239392329,48.35357047389906
2025-10-07 10:52:18.861075,1410,1030,1.2669676320219494,POINT (-4.481880456953377 48.353248453840266),4.393459462009587,-4.481880456953377,48.353248453840266
2025-10-07 10:52:28.861075,1420,1030,0.11000000000000001,POINT (-4.481778824822895 48.353153172113714),1.2999717108806916,-4.481778824822895,48.353153172113714
2025-10-07 10:52:38.861075,1430,1030,0.2100000000000001,POINT (-4.481732445054203 48.353109690348475),0.5932416644082081,-4.481732445054203,48.353109690348475
2025-10-07 10:52:48.861075,1440,1030,0.31000000000000016,POINT (-4.48165795633479 48.35303985599825),0.9527824155505771,-4.48165795633479,48.35303985599825
2025-10-07 10:52:58.861075,1450,1030,0.41000000000000025,POINT (-4.4815553586646555 48.35294366906303),1.3123236527615751,-4.4815553586646555,48.35294366906303
2025-10-07 10:53:08.861075,1460,1030,0.5100000000000003,POINT (-4.481424652043798 48.35282112954282),1.6718655594950984,-4.481424652043798,48.35282112954282
2025-10-07 10:53:18.861075,1470,1030,0.6100000000000004,POINT (-4.481262061792562 48.35267401256904),2.031819444623769,-4.481262061792562,48.35267401256904
2025-10-07 10:53:28.861075,1480,1030,0.7100000000000005,POINT (-4.4810611919259715 48.352505326003254),2.3947485371179194,-4.4810611919259715,48.352505326003254
2025-10-07 10:53:38.861075,1490,1030,0.8100000000000006,POINT (-4.480830116064404 48.352311273036605),2.7548648238103115,-4.480830116064404,48.352311273036605
2025-10-07 10:53:48.861075,1500,1030,0.8541528437296912,POINT (-4.480570480874593 48.35210019378051),3.0351359557847606,-4.480570480874593,48.35210019378051
2025-10-07 10:53:58.861075,1510,1030,0.7706605380901319,POINT (-4.48030711042226 48.35190147658033),2.9483895596438296,-4.48030711042226,48.35190147658033
2025-10-07 10:54:08.861075,1520,1030,0.870660538090132,POINT (-4.480041080560003 48.351700752813024),2.9781662658234307,-4.480041080560003,48.351700752813024
2025-10-07 10:54:18.861075,1530,1030,0.8046368427921311,POINT (-4.479758878424309 48.351487826807876),3.159218094301935,-4.479758878424309,48.351487826807876
2025-10-07 10:54:28.861075,1540,1030,0.9046368427921312,POINT (-4.479475047770309 48.351282837086615),3.1018105228955353,-4.479475047770309,48.351282837086615
2025-10-07 10:54:38.861075,1550,1030,1.0046368427921313,POINT (-4.479147368399001 48.35106031319788),3.4671515644791087,-4.479147368399001,48.35106031319788
2025-10-07 10:54:48.861075,1560,1030,0.3739941871746031,POINT (-4.478970222570107 48.350940015180456),1.874370170874722,-4.478970222570107,48.350940015180456
2025-10-07 10:54:58.861075,1570,1030,0.4739941871746032,POINT (-4.478823737421476 48.35084053853417),1.5499528368336086,-4.478823737421476,48.35084053853417
2025-10-07 10:55:08.861075,1580,1030,0.1619970963426236,POINT (-4.478685310474486 48.3507465341346),1.4646907119116392,-4.478685310474486,48.3507465341346
2025-10-07 10:55:18.861075,1590,1030,0.2619970963426237,POINT (-4.478611214244605 48.35069621610223),0.7840101694951385,-4.478611214244605,48.35069621610223
